game_id,play_date,household_type,format,n_players,has_player_under_10,duration_minutes,outcome,winner_position,n_bankruptcies,minutes_to_first_bankruptcy,most_landed_property_group,rule_dispute_count,house_rule_free_parking_jackpot,house_rule_no_auctions,house_rule_double_go_money,house_rule_starting_money_increased,house_rule_speed_die,kid_enjoyment_score,adult_enjoyment_score,would_play_again_score
GM-00076,2025-01-01,MULTIGEN,IN_PERSON,3,TRUE,91,COMPLETED,1,2,54,DARK_BLUE,2,TRUE,FALSE,FALSE,FALSE,FALSE,3.3,3.9,3.4
GM-00163,2025-01-01,FAMILY_WITH_KIDS,IN_PERSON,5,FALSE,124,COMPLETED,1,4,64,ORANGE,3,TRUE,TRUE,FALSE,FALSE,FALSE,3.3,3.8,3.9
GM-00397,2025-01-01,FAMILY_WITH_KIDS,IN_PERSON,6,FALSE,199,ABANDONED,,1,143,LIGHT_BLUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,2.3,2.1,1.8
GM-00560,2025-01-01,MULTIGEN,IN_PERSON,4,TRUE,230,ABANDONED,,0,,RED,3,TRUE,TRUE,FALSE,FALSE,FALSE,1.4,2.4,1.9
GM-00853,2025-01-01,FAMILY_WITH_KIDS,IN_PERSON,2,TRUE,69,COMPLETED,1,1,33,ORANGE,3,TRUE,TRUE,FALSE,FALSE,FALSE,4.6,4.0,3.6
GM-00949,2025-01-01,ADULTS_ONLY,IN_PERSON,2,FALSE,93,COMPLETED,1,1,57,ORANGE,4,TRUE,TRUE,FALSE,FALSE,FALSE,,3.6,3.8
GM-00212,2025-01-03,MULTIGEN,IN_PERSON,3,TRUE,64,COMPLETED,1,2,43,MAGENTA,0,FALSE,TRUE,FALSE,FALSE,FALSE,4.3,3.7,3.4
GM-00492,2025-01-03,FAMILY_WITH_KIDS,DIGITAL_APP,2,FALSE,73,COMPLETED,1,1,45,ORANGE,1,TRUE,TRUE,TRUE,FALSE,FALSE,3.9,3.2,3.1
GM-00698,2025-01-03,FAMILY_WITH_KIDS,IN_PERSON,4,TRUE,237,ABANDONED,,2,154,ORANGE,1,FALSE,FALSE,TRUE,FALSE,FALSE,2.0,1.9,1.3
GM-00760,2025-01-03,ADULTS_ONLY,IN_PERSON,2,FALSE,202,COMPLETED,2,1,99,YELLOW,1,TRUE,TRUE,TRUE,TRUE,FALSE,,2.3,2.1
GM-00124,2025-01-04,ADULTS_ONLY,IN_PERSON,2,FALSE,28,ABANDONED,,2,13,DARK_BLUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,,2.9,2.7
GM-00217,2025-01-04,MULTIGEN,IN_PERSON,2,TRUE,105,ABANDONED,,1,75,ORANGE,1,TRUE,FALSE,FALSE,FALSE,FALSE,3.7,2.8,2.6
GM-00398,2025-01-04,MULTIGEN,IN_PERSON,2,TRUE,62,COMPLETED,2,1,32,RED,1,FALSE,FALSE,FALSE,FALSE,FALSE,4.0,3.3,3.2
GM-00664,2025-01-04,FAMILY_WITH_KIDS,IN_PERSON,4,FALSE,133,COMPLETED,1,3,72,YELLOW,4,TRUE,FALSE,FALSE,TRUE,FALSE,3.4,3.9,4.0
GM-00021,2025-01-05,FAMILY_WITH_KIDS,IN_PERSON,4,TRUE,160,COMPLETED,2,3,96,BROWN,1,TRUE,FALSE,FALSE,FALSE,FALSE,2.4,3.7,3.7
